game_id,condition,round,total_rounds,phase,han_scs,sc_delta,pressure,pressure_pos,unit,order_type,action,target,support_state,reasoning_chars
control_opus_20260404_101008_523c,control,16,20,late,1,0,stable,losing,henei,hold,hold,,,567
control_opus_20260404_101008_523c,control,17,20,late,1,0,stable,losing,yewang,support,other_support,henei,wei,153
control_opus_20260404_101008_523c,control,18,20,late,1,0,stable,losing,yewang,hold,hold,,,462
control_opus_20260404_101008_523c,control,19,20,late,1,0,stable,losing,yewang,support,other_support,henei,wei,426
control_opus_20260404_101008_523c,control,20,20,late,1,0,stable,losing,yewang,move,move,henei,,263
control_opus_20260404_101008_8291,control,1,20,early,2,0,stable,stable,shangdang,move,move,taihang,,187
control_opus_20260404_101008_8291,control,1,20,early,2,0,stable,stable,zheng,move,move,luoyang,,247
control_opus_20260404_101008_8291,control,2,20,early,2,0,stable,stable,zheng,move,move,shangcai,,176
control_opus_20260404_101008_8291,control,2,20,early,2,0,stable,stable,shangdang,hold,hold,,,127
control_opus_20260404_101008_8291,control,3,20,early,2,0,stable,stable,shangdang,hold,hold,,,226
control_opus_20260404_101008_8291,control,3,20,early,2,0,stable,stable,zheng,move,move,shangcai,,341
control_opus_20260404_101008_8291,control,4,20,early,2,0,stable,stable,zheng,move,move,luoyang,,78
control_opus_20260404_101008_8291,control,4,20,early,2,0,stable,stable,shangdang,hold,hold,,,49
control_opus_20260404_101008_8291,control,5,20,early,2,0,stable,stable,zheng,move,move,shangcai,,61
control_opus_20260404_101008_8291,control,5,20,early,2,0,stable,stable,shangdang,move,move,zhongtiao,,75
control_opus_20260404_101008_8291,control,6,20,early,1,-1,losing,losing,zheng,move,move,shangcai,,88
control_opus_20260404_101008_8291,control,6,20,early,1,-1,losing,losing,zhongtiao,hold,hold,,,88
control_opus_20260404_101008_8291,control,7,20,mid,1,0,stable,losing,zheng,move,move,luoyang,,187
control_opus_20260404_101008_8291,control,8,20,mid,1,0,stable,losing,shangdang,hold,hold,,,192
control_opus_20260404_101008_8291,control,9,20,mid,1,0,stable,losing,shangdang,hold,hold,,,122
control_opus_20260404_101008_8291,control,10,20,mid,1,0,stable,losing,shangdang,hold,hold,,,542
control_opus_20260404_101008_8291,control,11,20,mid,1,0,stable,losing,shangdang,hold,hold,,,464
control_opus_20260404_101008_8291,control,12,20,mid,1,0,stable,losing,shangdang,move,move,zheng,,378
control_opus_20260404_101008_8291,control,13,20,mid,1,0,stable,losing,zheng,move,move,luoyang,,172
control_opus_20260404_101008_8291,control,14,20,late,1,0,stable,losing,shangcai,hold,hold,,,460
control_opus_20260404_101008_8291,control,15,20,late,1,0,stable,losing,shangcai,support,other_support,wuguan_pass,chu,156
control_opus_20260404_101008_8291,control,16,20,late,1,0,stable,losing,shangcai,move,move,zheng,,439
control_opus_20260404_101008_8291,control,17,20,late,1,0,stable,losing,zheng,move,move,luoyang,,149
control_opus_20260404_101008_8291,control,18,20,late,1,0,stable,losing,zheng,move,move,luoyang,,98
control_opus_20260404_101008_8291,control,19,20,late,1,0,stable,losing,zheng,move,move,luoyang,,466
control_opus_20260404_101008_8291,control,20,20,late,0,-1,losing,losing,zheng,move,move,luoyang,,203
control_opus_20260329_074444_c154,control,1,20,early,2,0,stable,stable,shangdang,hold,hold,,,150
control_opus_20260329_074444_c154,control,1,20,early,2,0,stable,stable,zheng,move,move,luoyang,,160
control_opus_20260329_074444_c154,control,2,20,early,2,0,stable,stable,shangdang,move,move,zhongtiao,,78
control_opus_20260329_074444_c154,control,2,20,early,2,0,stable,stable,zheng,move,move,luoyang,,62
control_opus_20260329_074444_c154,control,3,20,early,1,-1,losing,losing,zheng,move,move,luoyang,,121
control_opus_20260329_074444_c154,control,3,20,early,1,-1,losing,losing,zhongtiao,support,other_support,yewang,wei,104
control_opus_20260329_074444_c154,control,4,20,early,1,0,stable,losing,zheng,move,move,luoyang,,109
control_opus_20260329_074444_c154,control,5,20,early,1,0,stable,losing,shangdang,hold,hold,,,210
control_opus_20260329_074444_c154,control,6,20,early,1,0,stable,losing,shangdang,hold,hold,,,470
control_opus_20260329_074444_c154,control,7,20,mid,1,0,stable,losing,shangdang,hold,hold,,,66
control_opus_20260329_074444_c154,control,8,20,mid,1,0,stable,losing,shangdang,hold,hold,,,158
control_opus_20260329_074444_c154,control,9,20,mid,1,0,stable,losing,shangdang,hold,hold,,,0
control_opus_20260329_074444_c154,control,10,20,mid,1,0,stable,losing,shangdang,hold,hold,,,770
control_opus_20260329_074444_c154,control,11,20,mid,1,0,stable,losing,shangdang,hold,hold,,,933
control_opus_20260329_074444_c154,control,12,20,mid,1,0,stable,losing,shangdang,hold,hold,,,0
control_opus_20260329_074444_c154,control,13,20,mid,1,0,stable,losing,shangdang,hold,hold,,,0
control_opus_20260329_074444_c154,control,14,20,late,1,0,stable,losing,shangdang,hold,hold,,,0
control_opus_20260329_074444_c154,control,15,20,late,1,0,stable,losing,shangdang,hold,hold,,,421
control_opus_20260329_074444_c154,control,16,20,late,1,0,stable,losing,shangdang,hold,hold,,,360
control_opus_20260329_074444_c154,control,17,20,late,1,0,stable,losing,shangdang,move,move,taihang_north,,221
control_opus_20260329_074444_c154,control,18,20,late,1,0,stable,losing,taihang_north,move,move,handan,,425
control_opus_20260329_074444_c154,control,19,20,late,1,0,stable,losing,taihang_north,move,move,shangdang,,463
control_opus_20260329_074444_c154,control,20,20,late,1,0,stable,losing,taihang_north,move,move,handan,,347
control_opus_20260507_233507_c007,control,1,20,early,2,0,stable,stable,shangdang,hold,hold,,,233
control_opus_20260507_233507_c007,control,1,20,early,2,0,stable,stable,zheng,move,move,luoyang,,386
control_opus_20260507_233507_c007,control,2,20,early,2,0,stable,stable,shangdang,hold,hold,,,236
control_opus_20260507_233507_c007,control,2,20,early,2,0,stable,stable,zheng,move,move,luoyang,,324
control_opus_20260507_233507_c007,control,3,20,early,2,0,stable,stable,zheng,move,move,shangcai,,391
control_opus_20260507_233507_c007,control,3,20,early,2,0,stable,stable,shangdang,hold,hold,,,306
control_opus_20260507_233507_c007,control,4,20,early,1,-1,losing,losing,zheng,move,move,luoyang,,344
control_opus_20260507_233507_c007,control,4,20,early,1,-1,losing,losing,shangdang,hold,hold,,,269
control_opus_20260507_233507_c007,control,5,20,early,1,0,stable,losing,zheng,move,move,luoyang,,509
control_opus_20260507_233507_c007,control,6,20,early,1,0,stable,losing,zheng,move,move,luoyang,,450
control_opus_20260507_233507_c007,control,7,20,mid,0,-1,losing,losing,zheng,move,move,luoyang,,862
control_opus_20260508_090009_7177,control,1,20,early,2,0,stable,stable,zheng,move,move,luoyang,,293
control_opus_20260508_090009_7177,control,1,20,early,2,0,stable,stable,shangdang,hold,hold,,,341
control_opus_20260508_090009_7177,control,2,20,early,2,0,stable,stable,zheng,move,move,luoyang,,218
control_opus_20260508_090009_7177,control,2,20,early,2,0,stable,stable,shangdang,hold,hold,,,220
control_opus_20260508_090009_7177,control,3,20,early,2,0,stable,stable,shangdang,hold,hold,,,229
control_opus_20260508_090009_7177,control,3,20,early,2,0,stable,stable,zheng,move,move,luoyang,,764
control_opus_20260508_090009_7177,control,4,20,early,2,0,stable,stable,shangdang,hold,hold,,,197
control_opus_20260508_090009_7177,control,4,20,early,2,0,stable,stable,zheng,move,move,luoyang,,353
control_opus_20260508_090009_7177,control,5,20,early,2,0,stable,stable,shangdang,move,move,zheng,,221
control_opus_20260508_090009_7177,control,5,20,early,2,0,stable,stable,zheng,move,move,luoyang,,221
control_opus_20260508_090009_7177,control,6,20,early,2,0,stable,stable,zheng,move,move,luoyang,,125
control_opus_20260508_090009_7177,control,6,20,early,2,0,stable,stable,shangdang,move,move,zheng,,243
control_opus_20260508_090009_7177,control,7,20,mid,2,0,stable,stable,zheng,move,move,shangcai,,137
control_opus_20260508_090009_7177,control,7,20,mid,2,0,stable,stable,shangdang,move,move,zheng,,306
control_opus_20260508_090009_7177,control,8,20,mid,2,0,stable,stable,shangdang,move,move,zheng,,466
control_opus_20260508_090009_7177,control,8,20,mid,2,0,stable,stable,zheng,move,move,shangcai,,635
control_opus_20260508_090009_7177,control,9,20,mid,2,0,stable,stable,shangdang,support,self_support,zheng,han,212
control_opus_20260508_090009_7177,control,9,20,mid,2,0,stable,stable,zheng,hold,hold,,,326
control_opus_20260508_090009_7177,control,10,20,mid,2,0,stable,stable,shangdang,support,self_support,zheng,han,606
control_opus_20260508_090009_7177,control,10,20,mid,2,0,stable,stable,zheng,hold,hold,,,543
control_opus_20260508_090009_7177,control,11,20,mid,1,-1,losing,losing,shangdang,hold,hold,,,214
control_opus_20260508_090009_7177,control,11,20,mid,1,-1,losing,losing,zheng,support,other_support,luoyang,qin,376
control_opus_20260508_090009_7177,control,12,20,mid,1,0,stable,losing,shangdang,hold,hold,,,431
control_opus_20260508_090009_7177,control,13,20,mid,1,0,stable,losing,shangdang,hold,hold,,,407
control_opus_20260508_090009_7177,control,14,20,late,1,0,stable,losing,shangdang,move,move,zheng,,389
control_opus_20260508_090009_7177,control,15,20,late,1,0,stable,losing,zheng,hold,hold,,,906
control_opus_20260508_090009_7177,control,16,20,late,2,1,gaining,stable,zheng,move,move,yewang,,480
control_opus_20260508_090009_7177,control,17,20,late,2,0,stable,stable,yewang,support,self_support,zheng,han,530
control_opus_20260508_090009_7177,control,17,20,late,2,0,stable,stable,zheng,support,self_support,yewang,han,495
control_opus_20260508_090009_7177,control,18,20,late,2,0,stable,stable,zheng,move,move,yewang,,262
control_opus_20260508_090009_7177,control,18,20,late,2,0,stable,stable,henei,support,self_support,yewang,han,272
control_opus_20260508_090009_7177,control,19,20,late,2,0,stable,stable,henei,move,move,yewang,,299
control_opus_20260508_090009_7177,control,19,20,late,2,0,stable,stable,shangcai,hold,hold,,,289
control_opus_20260508_090009_7177,control,20,20,late,3,1,gaining,stable,shangcai,move,move,zheng,,220
control_opus_20260508_090009_7177,control,20,20,late,3,1,gaining,stable,yewang,support,self_support,zheng,han,170
control_opus_20260510_184414_c19f,control,1,20,early,2,0,stable,stable,zheng,move,move,luoyang,,320
control_opus_20260510_184414_c19f,control,1,20,early,2,0,stable,stable,shangdang,hold,hold,,,381
control_opus_20260510_184414_c19f,control,2,20,early,3,1,gaining,stable,shangdang,move,move,zheng,,322
control_opus_20260510_184414_c19f,control,2,20,early,3,1,gaining,stable,zheng,move,move,luoyang,,513
control_opus_20260510_184414_c19f,control,3,20,early,2,-1,losing,stable,shangdang,hold,hold,,,213
control_opus_20260510_184414_c19f,control,3,20,early,2,-1,losing,stable,yewang,hold,hold,,,250
control_opus_20260510_184414_c19f,control,3,20,early,2,-1,losing,stable,zheng,move,move,luoyang,,486
control_opus_20260510_184414_c19f,control,4,20,early,2,0,stable,stable,shangdang,hold,hold,,,257
control_opus_20260510_184414_c19f,control,4,20,early,2,0,stable,stable,zheng,move,move,shangcai,,683
control_opus_20260510_184414_c19f,control,5,20,early,2,0,stable,stable,shangdang,hold,hold,,,381
control_opus_20260510_184414_c19f,control,5,20,early,2,0,stable,stable,zheng,move,move,luoyang,,570
control_opus_20260510_184414_c19f,control,6,20,early,1,-1,losing,losing,shangdang,hold,hold,,,193
control_opus_20260510_184414_c19f,control,6,20,early,1,-1,losing,losing,zheng,move,move,luoyang,,457
control_opus_20260510_184414_c19f,control,7,20,mid,1,0,stable,losing,zheng,move,move,shangcai,,295
control_opus_20260510_184414_c19f,control,8,20,mid,1,0,stable,losing,yewang,hold,hold,,,722
control_opus_20260510_184414_c19f,control,9,20,mid,1,0,stable,losing,zheng,move,move,luoyang,,780
control_opus_20260510_184414_c19f,control,10,20,mid,0,-1,losing,losing,shangdang,hold,hold,,,397
control_opus_20260511_001142_57fe,control,1,20,early,2,0,stable,stable,shangdang,hold,hold,,,239
control_opus_20260511_001142_57fe,control,1,20,early,2,0,stable,stable,zheng,move,move,luoyang,,323
control_opus_20260511_001142_57fe,control,2,20,early,2,0,stable,stable,shangdang,move,move,zheng,,259
control_opus_20260511_001142_57fe,control,2,20,early,2,0,stable,stable,zheng,move,move,shangcai,,266
control_opus_20260511_001142_57fe,control,3,20,early,1,-1,losing,losing,shangdang,hold,hold,,,269
control_opus_20260511_001142_57fe,control,3,20,early,1,-1,losing,losing,zheng,move,move,shangcai,,655
control_opus_20260511_001142_57fe,control,4,20,early,1,0,stable,losing,luoyang,hold,hold,,,809
control_opus_20260511_001142_57fe,control,5,20,early,1,0,stable,losing,luoyang,hold,hold,,,714
control_opus_20260511_001142_57fe,control,6,20,early,1,0,stable,losing,luoyang,hold,hold,,,528
control_opus_20260511_001142_57fe,control,7,20,mid,1,0,stable,losing,luoyang,hold,hold,,,821
control_opus_20260511_001142_57fe,control,8,20,mid,0,-1,losing,losing,luoyang,hold,hold,,,763
random_oracle_opus_20260329_124241_7b69,yarrow,1,20,early,2,0,stable,stable,shangdang,hold,hold,,,424
random_oracle_opus_20260329_124241_7b69,yarrow,1,20,early,2,0,stable,stable,zheng,move,move,luoyang,,550
random_oracle_opus_20260329_124241_7b69,yarrow,2,20,early,1,-1,losing,losing,shangdang,move,move,zhongtiao,,51
random_oracle_opus_20260329_124241_7b69,yarrow,2,20,early,1,-1,losing,losing,zheng,move,move,luoyang,,60
random_oracle_opus_20260329_124241_7b69,yarrow,3,20,early,1,0,stable,losing,zheng,move,move,luoyang,,263
random_oracle_opus_20260329_124241_7b69,yarrow,4,20,early,1,0,stable,losing,zheng,support,other_support,luoyang,qin,138
random_oracle_opus_20260329_124241_7b69,yarrow,5,20,early,1,0,stable,losing,zheng,move,move,luoyang,,330
random_oracle_opus_20260329_124241_7b69,yarrow,6,20,early,2,1,gaining,stable,zheng,move,move,yewang,,402
random_oracle_opus_20260329_124241_7b69,yarrow,7,20,mid,2,0,stable,stable,zheng,move,move,luoyang,,150
random_oracle_opus_20260329_124241_7b69,yarrow,7,20,mid,2,0,stable,stable,yewang,hold,hold,,,107
random_oracle_opus_20260329_124241_7b69,yarrow,8,20,mid,3,1,gaining,stable,shangcai,support,self_support,zheng,Han,156
random_oracle_opus_20260329_124241_7b69,yarrow,8,20,mid,3,1,gaining,stable,yewang,move,move,zheng,,194
random_oracle_opus_20260329_124241_7b69,yarrow,9,20,mid,3,0,stable,stable,zheng,move,move,luoyang,,329
random_oracle_opus_20260329_124241_7b69,yarrow,9,20,mid,3,0,stable,stable,yewang,hold,hold,,,229
random_oracle_opus_20260329_124241_7b69,yarrow,9,20,mid,3,0,stable,stable,shangcai,hold,hold,,,260
random_oracle_opus_20260329_124241_7b69,yarrow,10,20,mid,3,0,stable,stable,zheng,move,move,luoyang,,230
random_oracle_opus_20260329_124241_7b69,yarrow,10,20,mid,3,0,stable,stable,henei,hold,hold,,,262
random_oracle_opus_20260329_124241_7b69,yarrow,10,20,mid,3,0,stable,stable,shangcai,hold,hold,,,247
random_oracle_opus_20260329_124241_7b69,yarrow,11,20,mid,3,0,stable,stable,zheng,move,move,luoyang,,161
random_oracle_opus_20260329_124241_7b69,yarrow,11,20,mid,3,0,stable,stable,henei,hold,hold,,,173
random_oracle_opus_20260329_124241_7b69,yarrow,11,20,mid,3,0,stable,stable,shangcai,hold,hold,,,145
random_oracle_opus_20260329_124241_7b69,yarrow,12,20,mid,2,-1,losing,stable,shangdang,move,move,zheng,,91
random_oracle_opus_20260329_124241_7b69,yarrow,12,20,mid,2,-1,losing,stable,shangcai,support,self_support,zheng,han,58
random_oracle_opus_20260329_124241_7b69,yarrow,12,20,mid,2,-1,losing,stable,henei,hold,hold,,,54
random_oracle_opus_20260329_124241_7b69,yarrow,13,20,mid,2,0,stable,stable,henei,move,move,daliang,,165
random_oracle_opus_20260329_124241_7b69,yarrow,13,20,mid,2,0,stable,stable,shangcai,hold,hold,,,103
random_oracle_opus_20260329_124241_7b69,yarrow,14,20,late,2,0,stable,stable,henei,move,move,yellow_river_north,,143
random_oracle_opus_20260329_124241_7b69,yarrow,14,20,late,2,0,stable,stable,shangcai,hold,hold,,,156
random_oracle_opus_20260329_124241_7b69,yarrow,15,20,late,1,-1,losing,losing,shangcai,hold,hold,,,361
random_oracle_opus_20260329_124241_7b69,yarrow,15,20,late,1,-1,losing,losing,yellow_river_north,hold,hold,,,430
random_oracle_opus_20260329_124241_7b69,yarrow,16,20,late,1,0,stable,losing,shangcai,support,other_support,zheng,chu,170
random_oracle_opus_20260329_124241_7b69,yarrow,17,20,late,1,0,stable,losing,shangcai,move,move,zheng,,353
random_oracle_opus_20260329_124241_7b69,yarrow,18,20,late,1,0,stable,losing,zheng,move,move,luoyang,,764
random_oracle_opus_20260329_124241_7b69,yarrow,19,20,late,1,0,stable,losing,zheng,move,move,luoyang,,197
random_oracle_opus_20260329_124241_7b69,yarrow,20,20,late,1,0,stable,losing,zheng,move,move,luoyang,,252
random_oracle_opus_20260329_165843_fdb1,yarrow,1,20,early,2,0,stable,stable,shangdang,hold,hold,,,148
random_oracle_opus_20260329_165843_fdb1,yarrow,1,20,early,2,0,stable,stable,zheng,move,move,luoyang,,173
random_oracle_opus_20260329_165843_fdb1,yarrow,2,20,early,2,0,stable,stable,shangdang,hold,hold,,,149
random_oracle_opus_20260329_165843_fdb1,yarrow,2,20,early,2,0,stable,stable,zheng,move,move,luoyang,,243
random_oracle_opus_20260329_165843_fdb1,yarrow,3,20,early,1,-1,losing,losing,yewang,move,move,zheng,,192
random_oracle_opus_20260329_165843_fdb1,yarrow,3,20,early,1,-1,losing,losing,shangdang,support,self_support,zheng,han,203
random_oracle_opus_20260329_165843_fdb1,yarrow,4,20,early,1,0,stable,losing,yewang,hold,hold,,,217
random_oracle_opus_20260329_165843_fdb1,yarrow,5,20,early,0,-1,losing,losing,yewang,hold,hold,,,236
